Date,BTC Actual Price,BTC Predicted Price TODAY,BTC Predicted Price Tomorrow,Prediction Accuracy (%)
1/12/2021,57755.02,52236.1,53053.21,90.44
2/12/2021,56477.82,56524.1,57212,99.92
3/12/2021,47328.12,54532.21,52051.51,84.78
4/12/2021,47983.47,53831.05,48853.23,87.81
5/12/2021,48812.66,54006.74,51707.35,89.36
6/12/2021,50582.63,51461.86,48501.65,98.26
7/12/2021,50700.09,51750.22,50311.24,97.93
8/12/2021,50504.8,51540.58,49832.45,97.95
9/12/2021,47672.12,53634.56,53161.2,87.49
10/12/2021,47243.3,49683.65,49100.43,94.83
11/12/2021,49362.51,51152.54,51004.34,96.37
12/12/2021,49696.31,51981.82,51313.56,95.40
13/12/2021,47230.74,52759.53,53096.06,88.29
14/12/2021,,51040.16,50869.74,
